variable,n,missing_count,missing_percent,mean,sd,min,q1,median,q3,max
compound_encoded,74331,0,0,2,1.389,1,1,2,3,6
cumulative_degradation,74331,0,0,-25,49.494,-210.371,-43.705,-20.832,-5.805,2412.431
lap_number,74331,0,0,30,18.135,1,15,29,44,78
lap_time_delta,74331,0,0,-0,52.019,-2403.895,-6.82,-0.018,4.262,2433.472
lap_time_s,74331,0,0,93,37.913,67.012,82.495,91.429,99.867,2526.253
normalized_tyre_life,74331,0,0,0,0.268,0.013,0.178,0.351,0.593,1
position,74331,0,0,10,5.396,1,5,10,14,20
position_change,74331,0,0,-0,3.628,-18,-1,0,1,18
race_progress,74331,0,0,0,0.264,0.013,0.214,0.429,0.648,1
stint,74331,0,0,2,0.96,1,1,2,3,8
tyre_life,74331,0,0,14,10.294,1,6,12,20,78
year,74331,0,0,2023,0.812,2022,2022,2023,2024,2024
